Statement,Header,Field Name,Field Value
Statement,Data,BrokerName,Interactive Brokers Ireland Limited
Statement,Data,BrokerAddress,
Statement,Data,Title,Activity Statement
Statement,Data,Period,"March 21, 2025 - January 14, 2026"
Statement,Data,WhenGenerated,"2026-01-15, 14:44:55 EST"
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,Stichting Legal Owner Keheilan Fund
Account Information,Data,Account,U17994267 (Custom Consolidated)
Account Information,Data,Accounts Included,"U20993660, U17994267"
Account Information,Data,Master Name,Keheilan Fund Management B.V.
Account Information,Data,Account Type,Institution Master
Account Information,Data,Customer Type,Partnership
Account Information,Data,Account Capabilities,Cash
Account Information,Data,Base Currency,USD
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Net Asset Value,Data,Cash ,0,99000.92188213,0,99000.92188213,99000.92188213
Net Asset Value,Data,Stock,0,2112793.31,0,2112793.31,2112793.31
Net Asset Value,Data,Interest Accruals,0,69.52,0,69.52,69.52
Net Asset Value,Data,Dividend Accruals,0,103.95,0,103.95,103.95
Net Asset Value,Data,Total,0,2211967.70188213,0,2211967.70188213,2211967.70188213
Net Asset Value,Header,Time Weighted Rate of Return
Net Asset Value,Data,-57.908479365%
Change in NAV,Header,Field Name,Field Value
Change in NAV,Data,Starting Value,0
Change in NAV,Data,Mark-to-Market,44849.4967
Change in NAV,Data,Deposits & Withdrawals,2131226.96
Mark-to-Market Performance Summary,Data,Stocks,COST,0,3,--,950.9800,116.81,6.889,-9.001049,1.1,115.797951,
Mark-to-Market Performance Summary,Data,Stocks,CRM,0,9,--,239.5700,396.95,-496.871,-12.035668,4.59,-107.366668,
Mark-to-Market Performance Summary,Data,Stocks,CRWD,0,3,--,460.7000,15.51,50.678,-9.002227,0,57.185773,
Mark-to-Market Performance Summary,Data,Stocks,CSCO,0,31,--,74.4100,34.11,9.1187,-10.795059,5.23,37.663641,
Mark-to-Market Performance Summary,Data,Stocks,CTS,0,0,--,--,0,106.5,-2.021,0,104.479,
Mark-to-Market Performance Summary,Data,Stocks,CTVA,0,0,--,--,-24.56,6.88,-3.00168,0,-20.68168,
Mark-to-Market Performance Summary,Data,Stocks,CVX,0,21,--,167.2400,319.93,4.0654,-6.001038,13.08,331.074362,
Mark-to-Market Performance Summary,Data,Stocks,DD,0,0,--,--,-4.56,3.44,-3.00168,0,-4.12168,
Mark-to-Market Performance Summary,Data,Stocks,DE,0,3,--,512.1000,112.83,-10.1111,-3.000022,1.38,101.098878,
Mark-to-Market Performance Summary,Data,Stocks,DECK,0,0,--,--,6.08,-14.72,-3.00084,0,-11.64084,
Mark-to-Market Performance Summary,Data,Stocks,DHR,0,6,--,237.9500,123.46,7.3275,-7.000486,0.82,124.607014,
Mark-to-Market Performance Summary,Data,Stocks,DIS,0,0,--,--,0,192.9,-7.05565,0,185.84435,
Mark-to-Market Performance Summary,Data,Stocks,DXCM,0,9,--,69.7000,39.03,-8.6637,-6.663474,0,23.702826,
Mark-to-Market Performance Summary,Data,Stocks,EA,0,0,--,--,32.16,-0.16,-3.00168,0,28.99832,
Mark-to-Market Performance Summary,Data,Stocks,ECL,0,0,--,--,-22.58,13.32,-3.00042,1.1,-11.16042,
Mark-to-Market Performance Summary,Data,Stocks,EOG,0,0,--,--,31.9,-21.8,-3.0021,0,7.0979,
Mark-to-Market Performance Summary,Data,Stocks,EQIX,0,0,--,--,97.8,-49.28,-2.00315,0,46.51685,
Mark-to-Market Performance Summary,Data,Stocks,ETN,0,7,--,331.1400,-106.58,7.0014,-6.000486,0.78,-104.799086,
Mark-to-Market Performance Summary,Data,Stocks,FCX,0,26,--,60.3500,371.8,-6.094,-7.428838,1.15,359.427162,
Mark-to-Market Performance Summary,Data,Stocks,FERG,0,0,--,--,-12.26,-1.22,-3.00042,0,-16.48042,
Mark-to-Market Performance Summary,Data,Stocks,FTNT,0,0,--,--,-6.96,19.8,-3.00252,0,9.83748,
Mark-to-Market Performance Summary,Data,Stocks,GEV,0,3,--,644.1800,64.34,4.23,-3.000044,0.21,65.779956,
Mark-to-Market Performance Summary,Data,Stocks,GILD,0,15,--,124.0700,55.71,9.87,-12.002066,13.42,66.997934,
Mark-to-Market Performance Summary,Data,Stocks,GKOS,0,0,--,--,150.3,-78.15,-2.0066,0,70.1434,
Mark-to-Market Performance Summary,Data,Stocks,GLD,0,25,--,425.9400,959,-71.249,-5.0063,0,882.7447,
Mark-to-Market Performance Summary,Data,Stocks,GOAU,0,0,--,--,-81.855,-13.575,-4.090895,0,-99.520895,
Mark-to-Market Performance Summary,Data,Stocks,GOOG,0,47,--,336.3100,4650.69,314.7446,-13.020866,9.46,4961.873734,
Mark-to-Market Performance Summary,Data,Stocks,GOOGL,0,0,--,--,155.6,-52.3,-2.00332,0,101.29668,
Mark-to-Market Performance Summary,Data,Stocks,GRMN,0,0,--,--,-5.68,-0.64,-3.00042,1.8,-7.52042,
Mark-to-Market Performance Summary,Data,Stocks,HD,0,7,--,375.9500,-43.74,0.515,-6.000486,5.86,-43.365486,
Mark-to-Market Performance Summary,Data,Stocks,HLN,0,0,--,--,-36.8,1.6,-3.0168,0,-38.2168,
Mark-to-Market Performance Summary,Data,Stocks,HON,0,7,--,213.0400,91.77,7.3925,-10.000935,3.03,92.191565,
Mark-to-Market Performance Summary,Data,Stocks,IBM,0,6,--,309.0300,143.75,40.05,-6.000906,2.86,180.659094,
Mark-to-Market Performance Summary,Data,Stocks,IFNNY,0,33,--,48.2600,280.41,-0.32,-8.87034878,0,271.21965122,
Mark-to-Market Performance Summary,Data,Stocks,INFY,0,0,--,--,32.94,17.08,-3.02562,0,46.99438,
Mark-to-Market Performance Summary,Data,Stocks,INTU,0,3,--,566.6000,-241.57,-14.206,-3.000022,1.02,-257.756022,
Mark-to-Market Performance Summary,Data,Stocks,ISRG,0,2,--,546.7600,26.39,10.205,-6.000442,0,30.594558,
Mark-to-Market Performance Summary,Data,Stocks,JNJ,0,14,--,218.5500,316.82,30.735,-6.000784,7.73,349.284216,
Mark-to-Market Performance Summary,Data,Stocks,KLAC,0,1,--,"1,434.5000",209.39,-4.72,-1,0,203.67,
Mark-to-Market Performance Summary,Data,Stocks,KMB,0,0,--,--,-28.44,7.74,-3.00126,0,-23.70126,
Mark-to-Market Performance Summary,Data,Stocks,KO,0,38,--,71.4400,80.2,-1.6615,-4.001656,7.8,82.336844,
Mark-to-Market Performance Summary,Data,Stocks,LIN,0,4,--,439.9800,-0.2,44.92,-8.002376,4.5,41.217624,
Mark-to-Market Performance Summary,Data,Stocks,LLY,0,4,--,"1,073.2900",640.61,72.145,-7.000674,2.55,708.304326,
Mark-to-Market Performance Summary,Data,Stocks,LOW,0,6,--,274.9500,126.89,7.645,-7.000276,2.04,129.574724,
Mark-to-Market Performance Summary,Data,Stocks,LRCX,0,7,--,208.7900,722.6,-5.24,-10.001767,2.66,710.018233,
Mark-to-Market Performance Summary,Data,Stocks,MCHP,0,10,--,74.6800,177.66,-2.7915,-8.411499,3.48,169.937001,
Mark-to-Market Performance Summary,Data,Stocks,MDLZ,0,0,--,--,12.16,-1.68,-3.00336,0,7.47664,
Mark-to-Market Performance Summary,Data,Stocks,MDT,0,15,--,98.7400,35.62,-7.6244,-5.976234,4.26,26.279366,
Mark-to-Market Performance Summary,Data,Stocks,META,0,12,--,615.5200,-272.83,132.1855,-11.002862,6.26,-145.387362,
Mark-to-Market Performance Summary,Data,Stocks,MPNGY,0,60,--,25.9000,-72.08,3.08,-10.53352806,0,-79.53352806,
Mark-to-Market Performance Summary,Data,Stocks,MRK,0,21,--,111.0100,364.6,6.7455,-6.87461,18.24,382.71089,
Mark-to-Market Performance Summary,Data,Stocks,MRVL,0,39,--,81.2100,285.99,-23.2786,-8.582086,0.51,254.639314,
Mark-to-Market Performance Summary,Data,Stocks,MSFT,0,61,--,459.3800,-1847.53,493.08,-21.043682,34.81,-1340.683682,
Mark-to-Market Performance Summary,Data,Stocks,MU,0,15,--,333.3500,3107.49,-71.575,-11.003136,3.53,3028.441864,
Mark-to-Market Performance Summary,Data,Stocks,NBIX,0,12,--,135.3300,-116.75,3.375,-8.000972,0,-121.375972,
Mark-to-Market Performance Summary,Data,Stocks,NEE,0,23,--,81.9800,133.33,-15.6216,-7.00829,4.82,115.52011,
Mark-to-Market Performance Summary,Data,Stocks,NKE,0,0,--,--,249.2,-174.4188,-5.03664,0,69.74456,
Mark-to-Market Performance Summary,Data,Stocks,NSC,0,5,--,286.3700,-3.09,3.38,-5.000254,1.15,-3.560254,
Mark-to-Market Performance Summary,Data,Stocks,NVDA,0,80,--,183.1400,2366.04,253.0187,-18.061013,1.24,2602.237687,
Mark-to-Market Performance Summary,Data,Stocks,NVO,0,47,--,58.9100,430.69,2.615,-7.174484,0,426.130516,
Mark-to-Market Performance Summary,Data,Stocks,NVS,0,8,--,146.1600,113.65,3.606,-6.002066,0,111.253934,
Mark-to-Market Performance Summary,Data,Stocks,NXPI,0,3,--,240.8100,68.45,15.4,-7.002594,2.58,79.427406,
Mark-to-Market Performance Summary,Data,Stocks,ORCL,0,38,--,193.6100,646.58,1498.5195,-55.889522,5.1,2094.309978,
Mark-to-Market Performance Summary,Data,Stocks,ORLY,0,0,--,--,-6.06,17.46,-3.00126,0,8.39874,
Mark-to-Market Performance Summary,Data,Stocks,PANW,0,8,--,190.9300,32.99,32.39,-12.01072,0,53.36928,
Mark-to-Market Performance Summary,Data,Stocks,PCAR,0,0,--,--,27.66,-6.84,-3.00126,0,17.81874,
Mark-to-Market Performance Summary,Data,Stocks,PDD,0,26,--,107.8500,-324.11,-11.3832,-12.002654,0,-347.495854,
Mark-to-Market Performance Summary,Data,Stocks,PEP,0,13,--,145.9200,15.95,18.9362,-12.005299,8.47,31.350901,
Mark-to-Market Performance Summary,Data,Stocks,PFE,0,121,--,25.5800,155.47,-178.5032,-35.636294,13.89,-44.779494,
Mark-to-Market Performance Summary,Data,Stocks,PG,0,18,--,146.3500,-89.94,8.75,-6.001646,4.49,-82.701646,
Mark-to-Market Performance Summary,Data,Stocks,PLD,0,0,--,--,254,-26.76,-4.063,0,223.177,
Mark-to-Market Performance Summary,Data,Stocks,PLTR,0,14,--,178.4000,284.32,-30.81,-11.004028,0,242.505972,
Mark-to-Market Performance Summary,Data,Stocks,PPG,0,15,--,108.5700,55.02,3.584,-6.000784,2.41,55.013216,
Mark-to-Market Performance Summary,Data,Stocks,QCOM,0,29,--,164.5400,-1853.87,-2410.104,-27.172458,52.2,-4238.946458,
Mark-to-Market Performance Summary,Data,Stocks,ROIV,0,37,--,23.8100,226.94,-9.4997,-6.735948,0,210.704352,
Mark-to-Market Performance Summary,Data,Stocks,ROST,0,3,--,191.8300,88.55,0.5118,-4.000254,0.69,85.751546,
Mark-to-Market Performance Summary,Data,Stocks,RTX,0,10,--,198.8400,262.44,36.035,-6.00385,2.89,295.36115,
Mark-to-Market Performance Summary,Data,Stocks,SAP,0,16,--,238.8800,-246.54,-19.4718,-7.001414,0,-273.013214,
Mark-to-Market Performance Summary,Data,Stocks,SBUX,0,0,--,--,-6.8,-27.3,-5.00209,0,-39.10209,
Mark-to-Market Performance Summary,Data,Stocks,SE,0,12,--,125.2500,-171.58,39.79,-7.01692,0,-138.80692,
Mark-to-Market Performance Summary,Data,Stocks,SHOP,0,0,--,--,-1.1,-6.428,-2.00083,0,-9.52883,
Mark-to-Market Performance Summary,Data,Stocks,SLB,0,39,--,46.9700,357.14,29.1957,-14.452863,5.7,377.582837,
Mark-to-Market Performance Summary,Data,Stocks,SMCI,0,1300,--,28.2700,167.5,-3223.23,-56.8692,0,-3112.5992,
Mark-to-Market Performance Summary,Data,Stocks,SNY,0,46,--,47.8900,-43.75,10.1574,-42.445183,0,-76.037783,
Mark-to-Market Performance Summary,Data,Stocks,SOLS,0,0,--,--,0,0.38,-0.247594,0,0.132406,
Mark-to-Market Performance Summary,Data,Stocks,SPGI,0,4,--,545.0000,142.3,-7.945,-4.000232,0.82,131.174768,
Mark-to-Market Performance Summary,Data,Stocks,SPSK,0,50,--,18.2700,8765,1024.0066,-596.98217,1222.35,10414.37443,
Mark-to-Market Performance Summary,Data,Stocks,SPUS,0,0,--,--,2.1,-2.486,-2.00195,0,-2.38795,
Mark-to-Market Performance Summary,Data,Stocks,SW,0,0,--,--,-33.74,-16.24,-3.00294,0,-52.98294,
Mark-to-Market Performance Summary,Data,Stocks,SYK,0,4,--,359.3900,-3.77,-4.97,-3.000022,0.71,-11.030022,
Mark-to-Market Performance Summary,Data,Stocks,TER,0,7,--,230.1900,662.59,-13.3926,-7.000935,0.51,642.706465,
Mark-to-Market Performance Summary,Data,Stocks,TGT,0,0,--,--,-9.44,-33.12,-3.00344,0,-45.56344,
Mark-to-Market Performance Summary,Data,Stocks,TJX,0,10,--,155.1300,54.84,18.0577,-7.00116,1.09,66.98654,
Mark-to-Market Performance Summary,Data,Stocks,TLT,0,0,--,--,1844.5,-100.658,-56.08487,1078.6,2766.35713,
Mark-to-Market Performance Summary,Data,Stocks,TMO,0,3,--,621.8300,212.83,3.38,-4.000232,0.73,212.939768,
Mark-to-Market Performance Summary,Data,Stocks,TMUS,0,12,--,192.0200,-260.3,-7.2596,-8.000784,5.2,-270.360384,
Mark-to-Market Performance Summary,Data,Stocks,TSLA,0,12,--,439.2000,333.68,8.6511,-12.001204,0,330.329896,
Mark-to-Market Performance Summary,Data,Stocks,TSM,0,34,--,327.1100,2235.48,35.44,-8.005086,23.65,2286.564914,
Mark-to-Market Performance Summary,Data,Stocks,TT,0,0,--,--,-29.88,10.24,-3.00042,0,-22.64042,
Mark-to-Market Performance Summary,Data,Stocks,TTD,0,52,--,37.1300,-210.59,-8.9576,-10.861952,0,-230.409552,
Mark-to-Market Performance Summary,Data,Stocks,TXN,0,9,--,193.4500,121.83,-22.1726,-10.002232,3.62,93.275168,
Mark-to-Market Performance Summary,Data,Stocks,UNH,0,7,--,334.9600,2371.32,165.4998,-29.180276,5.64,2513.279524,
Mark-to-Market Performance Summary,Data,Stocks,VMC,0,0,--,--,-13.9,11.63,-3.00042,0,-5.27042,
Mark-to-Market Performance Summary,Data,Stocks,VSNT,0,2,--,33.0000,-15.14,0.874,-0.3172202,0,-14.5832202,
Mark-to-Market Performance Summary,Data,Stocks,VST,0,0,--,--,42.84,1.14,-3.00042,0,40.97958,
Mark-to-Market Performance Summary,Data,Stocks,VZ,0,50,--,39.8300,-119.29,-3.82,-4.826596,8.8,-119.136596,
Mark-to-Market Performance Summary,Data,Stocks,WDAY,0,0,--,--,0,54.5,-2.00525,0,52.49475,
Mark-to-Market Performance Summary,Data,Stocks,WELL,0,0,--,--,93,63,-2.0315,0,153.9685,
Mark-to-Market Performance Summary,Data,Stocks,WMT,0,44,--,120.0400,515.92,97.106,-7.009116,4.6,610.616884,
Mark-to-Market Performance Summary,Data,Stocks,XIACY,0,78,--,24.1300,-389.95,-0.85,-9.82726886,0,-400.62726886,
Mark-to-Market Performance Summary,Data,Stocks,XOM,0,29,--,130.2000,463.13,16.564,-8.006916,11.38,483.067084,
Mark-to-Market Performance Summary,Data,Stocks,XYL,0,11,--,140.0900,1.73,-2.5,-5.00053,1.7,-4.07053,
Mark-to-Market Performance Summary,Data,Stocks,ZROZ,0,26536,--,65.4300,4849.13,3095.465,-521.231112,27019.06,34442.423888,
Mark-to-Market Performance Summary,Data,Stocks,ZTS,0,0,--,--,-25.74,-1.68,-3.00126,0,-30.42126,
Mark-to-Market Performance Summary,Data,Total,,,,,,46013.1832,-1163.6865,-2352.59061787,29915.4,72412.30608213,
Mark-to-Market Performance Summary,Data,Forex,USD,0,99000.92188213,1.0000,1.0000,0,0,0,0,0,
Mark-to-Market Performance Summary,Data,Total,,,,,,0,0,0,0,0,
