Statement,Header,Field Name,Field Value
Statement,Data,BrokerName,Interactive Brokers Ireland Limited
Statement,Data,BrokerAddress,
Statement,Data,Title,Activity Statement
Statement,Data,Period,"July 15, 2025 - January 9, 2026"
Statement,Data,WhenGenerated,"2026-01-11, 12:07:15 EST"
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,Stichting Legal Owner Keheilan Fund
Account Information,Data,Account,DUK415187
Account Information,Data,Account Type,Individual
Account Information,Data,Customer Type,Partnership
Account Information,Data,Account Capabilities,Margin
Account Information,Data,Base Currency,USD
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Realized & Unrealized Performance Summary,Data,Stocks,COST,0,0,0,0,0,0,25.88,-542.795858,0,0,-516.915858,-516.915858,
Realized & Unrealized Performance Summary,Data,Stocks,CRM,0,0,0,0,0,0,154.927617,-160.560415,0,0,-5.632798,-5.632798,
Realized & Unrealized Performance Summary,Data,Stocks,CRWD,0,0,0,0,0,0,0,-430.763341,0,0,-430.763341,-430.763341,
Realized & Unrealized Performance Summary,Data,Stocks,CSCO,0,0,0,0,0,0,2136.41057,-8.5,0,0,2127.91057,2127.91057,
Realized & Unrealized Performance Summary,Data,Stocks,CTVA,0,0,0,0,0,0,485.633768,0,0,0,485.633768,485.633768,
Realized & Unrealized Performance Summary,Data,Stocks,CVX,0,0,0,0,0,0,1433.538284,0,0,0,1433.538284,1433.538284,
Realized & Unrealized Performance Summary,Data,Stocks,DD,0,0,0,0,0,0,1013.715352,0,0,0,1013.715352,1013.715352,
Realized & Unrealized Performance Summary,Data,Stocks,DE,0,0,0,0,0,0,77.12,0,0,0,77.12,77.12,
Realized & Unrealized Performance Summary,Data,Stocks,DECK,0,0,0,0,0,0,0,-180.368127,0,0,-180.368127,-180.368127,
Realized & Unrealized Performance Summary,Data,Stocks,DHR,0,39.28646568,0,0,0,39.28646568,1374.129037,0,0,0,1374.129037,1413.41550268,
Realized & Unrealized Performance Summary,Data,Stocks,DXCM,0,0,0,0,0,0,75.8,0,0,0,75.8,75.8,
Realized & Unrealized Performance Summary,Data,Stocks,EA,0,0,0,0,0,0,2818.89863,0,0,0,2818.89863,2818.89863,
Realized & Unrealized Performance Summary,Data,Stocks,ECL,0,0,0,0,0,0,417.951165,-0.860027,0,0,417.091138,417.091138,
Realized & Unrealized Performance Summary,Data,Stocks,EOG,0,0,0,0,0,0,0,-731.382094,0,0,-731.382094,-731.382094,
Realized & Unrealized Performance Summary,Data,Stocks,ETN,0,0,0,0,0,0,0,-449.63,0,0,-449.63,-449.63,
Realized & Unrealized Performance Summary,Data,Stocks,FCX,0,0,0,0,0,0,2466.846745,0,0,0,2466.846745,2466.846745,
Realized & Unrealized Performance Summary,Data,Stocks,FERG,0,0,0,0,0,0,1327.337666,0,0,0,1327.337666,1327.337666,
Realized & Unrealized Performance Summary,Data,Stocks,FTNT,0,0,0,0,0,0,0,-1363.631836,0,0,-1363.631836,-1363.631836,
Realized & Unrealized Performance Summary,Data,Stocks,GEV,0,0,0,0,0,0,0,-150.1,0,0,-150.1,-150.1,
Realized & Unrealized Performance Summary,Data,Stocks,GF7,0,0,0,0,0,0,0,-531.43809516,0,0,-531.43809516,-531.43809516,
Realized & Unrealized Performance Summary,Data,Stocks,GILD,0,0,0,0,0,0,903.775144,-2.41,0,0,901.365144,901.365144,
Realized & Unrealized Performance Summary,Data,Stocks,GOAU,0,0,0,0,0,0,35212.34427,0,0,0,35212.34427,35212.34427,
Realized & Unrealized Performance Summary,Data,Stocks,GOOG,0,17113.33927051,0,0,0,17113.33927051,29604.703196,0,0,0,29604.703196,46718.04246651,
Realized & Unrealized Performance Summary,Data,Stocks,GRMN,0,0,0,0,0,0,320.00201,0,0,0,320.00201,320.00201,
Realized & Unrealized Performance Summary,Data,Stocks,HD,0,0,0,0,0,0,672.626202,0,0,0,672.626202,672.626202,
Realized & Unrealized Performance Summary,Data,Stocks,HLN,0,0,0,0,0,0,79.935515,-63.274886,0,0,16.660629,16.660629,
Realized & Unrealized Performance Summary,Data,Stocks,HON,0,0,0,0,0,0,711.054637,0,0,0,711.054637,711.054637,
Realized & Unrealized Performance Summary,Data,Stocks,IBM,0,0,0,0,0,0,1729.619125,-20.12,0,0,1709.499125,1709.499125,
Realized & Unrealized Performance Summary,Data,Stocks,IFNNY,0,0,0,0,0,0,777.77,0,0,0,777.77,777.77,
Realized & Unrealized Performance Summary,Data,Stocks,INFY,0,0,0,0,0,0,128.89188,-348.054992,0,0,-219.163112,-219.163112,
Realized & Unrealized Performance Summary,Data,Stocks,INTU,0,0,0,0,0,0,0,-222.1,0,0,-222.1,-222.1,
Realized & Unrealized Performance Summary,Data,Stocks,ISRG,0,0,0,0,0,0,764.549698,0,0,0,764.549698,764.549698,
Realized & Unrealized Performance Summary,Data,Stocks,JNJ,0,98.728326,0,0,0,98.728326,3281.626577,0,0,0,3281.626577,3380.354903,
Realized & Unrealized Performance Summary,Data,Stocks,KLAC,0,0,0,0,0,0,874,0,0,0,874,874,
Realized & Unrealized Performance Summary,Data,Stocks,KMB,0,0,0,0,0,0,0,-1268.970816,0,0,-1268.970816,-1268.970816,
Realized & Unrealized Performance Summary,Data,Stocks,KO,0,0,0,0,0,0,21.54,0,0,0,21.54,21.54,
Realized & Unrealized Performance Summary,Data,Stocks,LIN,0,0,0,0,0,0,395.639685,-48.840167,0,0,346.799518,346.799518,
Realized & Unrealized Performance Summary,Data,Stocks,LLY,0,4478.92375636,0,0,0,4478.92375636,5405.775946,0,0,0,5405.775946,9884.69970236,
Realized & Unrealized Performance Summary,Data,Stocks,LOW,0,0,0,0,0,0,1145.700631,0,0,0,1145.700631,1145.700631,
Realized & Unrealized Performance Summary,Data,Stocks,LRCX,0,0,0,0,0,0,2614.36,0,0,0,2614.36,2614.36,
Realized & Unrealized Performance Summary,Data,Stocks,MCHP,0,0,0,0,0,0,459.02,0,0,0,459.02,459.02,
Realized & Unrealized Performance Summary,Data,Stocks,MCK,0,0,0,0,0,0,829.588339,0,0,0,829.588339,829.588339,
Realized & Unrealized Performance Summary,Data,Stocks,MDLZ,0,0,0,0,0,0,0,-965.874182,0,0,-965.874182,-965.874182,
Realized & Unrealized Performance Summary,Data,Stocks,MDT,0,0,0,0,0,0,0,-314.6,0,0,-314.6,-314.6,
Realized & Unrealized Performance Summary,Data,Stocks,META,0,0,0,0,0,0,4070.708235,-604.480198,0,0,3466.228037,3466.228037,
Realized & Unrealized Performance Summary,Data,Stocks,MLM,0,0,0,0,0,0,814.109805,0,0,0,814.109805,814.109805,
Realized & Unrealized Performance Summary,Data,Stocks,MPNGY,0,0,-480.40513048,0,0,-480.40513048,0,-1222.345071,0,0,-1222.345071,-1702.75020148,
Realized & Unrealized Performance Summary,Data,Stocks,MRK,0,295.31183554,0,0,0,295.31183554,2464.30319,0,0,0,2464.30319,2759.61502554,
Realized & Unrealized Performance Summary,Data,Stocks,MRVL,0,0,0,0,0,0,0,-2366.1,0,0,-2366.1,-2366.1,
Realized & Unrealized Performance Summary,Data,Stocks,MSFT,0,0,0,0,0,0,10835.090154,-40.78,0,0,10794.310154,10794.310154,
Realized & Unrealized Performance Summary,Data,Stocks,MU,0,0,0,0,0,0,17727.782276,0,0,0,17727.782276,17727.782276,
Realized & Unrealized Performance Summary,Data,Stocks,NBIX,0,0,0,0,0,0,0,-796.9,0,0,-796.9,-796.9,
Realized & Unrealized Performance Summary,Data,Stocks,NEE,0,0,0,0,0,0,0,-367.7,0,0,-367.7,-367.7,
Realized & Unrealized Performance Summary,Data,Stocks,NKE,0,0,0,0,0,0,556.898224,0,0,0,556.898224,556.898224,
Realized & Unrealized Performance Summary,Data,Stocks,NOW,0,0,0,0,0,0,0,-568.365221,0,0,-568.365221,-568.365221,
Realized & Unrealized Performance Summary,Data,Stocks,NSC,0,0,0,0,0,0,0,-194.38,0,0,-194.38,-194.38,
Realized & Unrealized Performance Summary,Data,Stocks,NVDA,0,5979.749925,0,0,0,5979.749925,21704.014332,0,0,0,21704.014332,27683.764257,
Realized & Unrealized Performance Summary,Data,Stocks,NVO,0,0,0,0,0,0,506.52,-1051.025768,0,0,-544.505768,-544.505768,
Realized & Unrealized Performance Summary,Data,Stocks,NVS,0,342.61563777,0,0,0,342.61563777,2429.030948,0,0,0,2429.030948,2771.64658577,
Realized & Unrealized Performance Summary,Data,Stocks,NXPI,0,0,0,0,0,0,169.1,0,0,0,169.1,169.1,
Realized & Unrealized Performance Summary,Data,Stocks,ORCL,0,690.66306582,0,0,0,690.66306582,3322.989142,-3214.00198,0,0,108.987162,799.65022782,
Realized & Unrealized Performance Summary,Data,Stocks,ORLY,0,0,0,0,0,0,63.554992,-4.000035,0,0,59.554957,59.554957,
Realized & Unrealized Performance Summary,Data,Stocks,PANW,0,0,-129.14274302,0,0,-129.14274302,0,-412.400048,0,0,-412.400048,-541.54279102,
Realized & Unrealized Performance Summary,Data,Stocks,PCAR,0,0,0,0,0,0,1095.772042,0,0,0,1095.772042,1095.772042,
Realized & Unrealized Performance Summary,Data,Stocks,PDD,0,0,0,0,0,0,951.057134,0,0,0,951.057134,951.057134,
Realized & Unrealized Performance Summary,Data,Stocks,PEP,0,0,0,0,0,0,0,-304.16,0,0,-304.16,-304.16,
Realized & Unrealized Performance Summary,Data,Stocks,PFE,0,0,0,0,0,0,0,-136.21,0,0,-136.21,-136.21,
Realized & Unrealized Performance Summary,Data,Stocks,PG,0,0,0,0,0,0,0,-1450.649443,0,0,-1450.649443,-1450.649443,
Realized & Unrealized Performance Summary,Data,Stocks,PH,0,0,0,0,0,0,2041.25979,0,0,0,2041.25979,2041.25979,
Realized & Unrealized Performance Summary,Data,Stocks,PLTR,0,4407.02222233,0,0,0,4407.02222233,2433.265413,0,0,0,2433.265413,6840.28763533,
Realized & Unrealized Performance Summary,Data,Stocks,PPG,0,0,0,0,0,0,394.2,0,0,0,394.2,394.2,
Realized & Unrealized Performance Summary,Data,Stocks,Q,0,0,0,0,0,0,515.916511,0,0,0,515.916511,515.916511,
Realized & Unrealized Performance Summary,Data,Stocks,QCOM,0,0,0,0,0,0,2036.084363,0,0,0,2036.084363,2036.084363,
Realized & Unrealized Performance Summary,Data,Stocks,REGN,0,0,0,0,0,0,1344.609816,0,0,0,1344.609816,1344.609816,
Realized & Unrealized Performance Summary,Data,Stocks,ROIV,0,0,0,0,0,0,101.3,0,0,0,101.3,101.3,
Realized & Unrealized Performance Summary,Data,Stocks,ROP,0,0,0,0,0,0,0,-683.366863,0,0,-683.366863,-683.366863,
Realized & Unrealized Performance Summary,Data,Stocks,ROST,0,0,0,0,0,0,193.74,0,0,0,193.74,193.74,
Realized & Unrealized Performance Summary,Data,Stocks,RTX,0,0,0,0,0,0,757.25,0,0,0,757.25,757.25,
Realized & Unrealized Performance Summary,Data,Stocks,SAP,0,0,0,0,0,0,8.18,-2010.948206,0,0,-2002.768206,-2002.768206,
Realized & Unrealized Performance Summary,Data,Stocks,SBUX,0,0,0,0,0,0,373.960349,0,0,0,373.960349,373.960349,
Realized & Unrealized Performance Summary,Data,Stocks,SE,0,0,0,0,0,0,0,-90.28,0,0,-90.28,-90.28,
Realized & Unrealized Performance Summary,Data,Stocks,SHW,0,0,0,0,0,0,152.453314,-5.870127,0,0,146.583187,146.583187,
Realized & Unrealized Performance Summary,Data,Stocks,SLB,0,0,0,0,0,0,1756.837364,0,0,0,1756.837364,1756.837364,
Realized & Unrealized Performance Summary,Data,Stocks,SNY,0,0,0,0,0,0,0,-131.41,0,0,-131.41,-131.41,
Realized & Unrealized Performance Summary,Data,Stocks,SOLS,0,0,0,0,0,0,49.297381,0,0,0,49.297381,49.297381,
Realized & Unrealized Performance Summary,Data,Stocks,SPGI,0,0,0,0,0,0,763.49,0,0,0,763.49,763.49,
Realized & Unrealized Performance Summary,Data,Stocks,SPSK,0,0,0,0,0,0,1691.44912,0,0,0,1691.44912,1691.44912,
Realized & Unrealized Performance Summary,Data,Stocks,SW,0,0,0,0,0,0,187.310612,-4.684922,0,0,182.62569,182.62569,
Realized & Unrealized Performance Summary,Data,Stocks,SYK,0,0,0,0,0,0,0,-15.62,0,0,-15.62,-15.62,
Realized & Unrealized Performance Summary,Data,Stocks,TER,0,0,0,0,0,0,520.07,0,0,0,520.07,520.07,
Realized & Unrealized Performance Summary,Data,Stocks,TGT,0,0,0,0,0,0,499.525174,0,0,0,499.525174,499.525174,
Realized & Unrealized Performance Summary,Data,Stocks,TJX,0,168.6711344,0,0,0,168.6711344,1437.857948,0,0,0,1437.857948,1606.5290824,
Realized & Unrealized Performance Summary,Data,Stocks,TMO,0,362.3093639,0,0,0,362.3093639,2314.782783,0,0,0,2314.782783,2677.0921469,
Realized & Unrealized Performance Summary,Data,Stocks,TMUS,0,0,0,0,0,0,0,-384.99,0,0,-384.99,-384.99,
Realized & Unrealized Performance Summary,Data,Stocks,TSLA,0,0,0,0,0,0,3239.033814,-313,0,0,2926.033814,2926.033814,
Realized & Unrealized Performance Summary,Data,Stocks,TSM,0,0,0,0,0,0,12521.317863,0,0,0,12521.317863,12521.317863,
Realized & Unrealized Performance Summary,Data,Stocks,TT,0,0,0,0,0,0,377.251216,-100.390127,0,0,276.861089,276.861089,
Realized & Unrealized Performance Summary,Data,Stocks,TTD,0,0,0,0,0,0,0,-994.957407,0,0,-994.957407,-994.957407,
Realized & Unrealized Performance Summary,Data,Stocks,TXN,0,0,0,0,0,0,1100.586575,0,0,0,1100.586575,1100.586575,
Realized & Unrealized Performance Summary,Data,Stocks,UNH,0,0,0,0,0,0,268.4,0,0,0,268.4,268.4,
Realized & Unrealized Performance Summary,Data,Stocks,VMC,0,0,0,0,0,0,828.078143,0,0,0,828.078143,828.078143,
Realized & Unrealized Performance Summary,Data,Stocks,VRTX,0,0,0,0,0,0,2.719956,-137.591639,0,0,-134.871683,-134.871683,
Realized & Unrealized Performance Summary,Data,Stocks,VSNT,0,0,0,0,0,0,0,-100.425234,0,0,-100.425234,-100.425234,
Realized & Unrealized Performance Summary,Data,Stocks,VST,0,0,0,0,0,0,929.507729,0,0,0,929.507729,929.507729,
Realized & Unrealized Performance Summary,Data,Stocks,VZ,0,0,0,0,0,0,0,-176.185,0,0,-176.185,-176.185,
Realized & Unrealized Performance Summary,Data,Stocks,WMT,0,2443.582915,0,0,0,2443.582915,3068.845406,0,0,0,3068.845406,5512.428321,
Realized & Unrealized Performance Summary,Data,Stocks,XIACY,0,0,0,0,0,0,0,-914.95,0,0,-914.95,-914.95,
Realized & Unrealized Performance Summary,Data,Stocks,XOM,0,0,0,0,0,0,2190.905738,0,0,0,2190.905738,2190.905738,
Realized & Unrealized Performance Summary,Data,Stocks,XYL,0,0,0,0,0,0,0,-75.52,0,0,-75.52,-75.52,
Realized & Unrealized Performance Summary,Data,Stocks,ZTS,0,0,0,0,0,0,0,-869.066288,0,0,-869.066288,-869.066288,
Realized & Unrealized Performance Summary,Data,Total,,0,52658.43400351,-609.5478735,0,0,52048.88613001,283342.31628,-40289.95192016,0,0,243052.36435984,295101.25048985,
Realized & Unrealized Performance Summary,Data,Total (All Assets),,0,52658.43400351,-609.5478735,0,0,52048.88613001,283342.31628,-40289.95192016,0,0,243052.36435984,295101.25048985,
Cash Report,Header,Currency Summary,Currency,Total,Securities,Futures,Month to Date,Year to Date,
Cash Report,Data,Starting Cash,Base Currency Summary,74898.6397786,74898.6397786,0,,,
Cash Report,Data,Commissions,Base Currency Summary,-113.78648282,-113.78648282,0,0,0,
Cash Report,Data,Broker Interest Paid and Received,Base Currency Summary,42.725936,42.725936,0,0,0,
Cash Report,Data,Trades (Sales),Base Currency Summary,137423.41,137423.41,0,0,0,
Cash Report,Data,Trades (Purchase),Base Currency Summary,-539471.1913,-539471.1913,0,0,0,
Cash Report,Data,Payment In Lieu of Dividends,Base Currency Summary,8409.14,8409.14,0,0,0,
Cash Report,Data,Cash FX Translation Gain/Loss,Base Currency Summary,9.85047966,9.85047966,0,,,
Cash Report,Data,Ending Cash,Base Currency Summary,-318801.21158856,-318801.21158856,0,,,
Cash Report,Data,Ending Settled Cash,Base Currency Summary,-318801.21158856,-318801.21158856,0,,,
Cash Report,Data,Starting Cash,EUR,0,0,0,,,
Cash Report,Data,Commissions,EUR,-11.2974,-11.2974,0,0,0,
Cash Report,Data,Broker Interest Paid and Received,EUR,-23.78,-23.78,0,0,0,
Cash Report,Data,Trades (Purchase),EUR,-10791,-10791,0,0,0,
Cash Report,Data,Ending Cash,EUR,-10826.0774,-10826.0774,0,,,
Cash Report,Data,Ending Settled Cash,EUR,-10826.0774,-10826.0774,0,,,
Cash Report,Data,Starting Cash,USD,74898.6397786,74898.6397786,0,,,
Cash Report,Data,Commissions,USD,-100.63292,-100.63292,0,0,0,
Cash Report,Data,Broker Interest Paid and Received,USD,70.52,70.52,0,0,0,
Cash Report,Data,Trades (Sales),USD,137423.41,137423.41,0,0,0,
Cash Report,Data,Trades (Purchase),USD,-526907.23,-526907.23,0,0,0,
Cash Report,Data,Payment In Lieu of Dividends,USD,8409.14,8409.14,0,0,0,
Cash Report,Data,Ending Cash,USD,-306206.1531414,-306206.1531414,0,,,
Cash Report,Data,Ending Settled Cash,USD,-306206.1531414,-306206.1531414,0,,,
Open Positions,Header,DataDiscriminator,Asset Category,Currency,Symbol,Quantity,Mult,Cost Price,Cost Basis,Close Price,Value,Unrealized P/L,Code
Open Positions,Data,Summary,Stocks,EUR,GE,990,1,10.911411515,10802.2974,10.45,10345.5,-456.7974,
Open Positions,Total,,Stocks,EUR,,,,,10802.2974,,10345.5,-456.7974,
Open Positions,Total,,Stocks,USD,,,,,12567.39279516,,12035.9547,-531.43809516,
Open Positions,Data,Summary,Stocks,USD,AAPL,96,1,239.313976927,22974.141785,259.37,24899.52,1925.378215,
Open Positions,Data,Summary,Stocks,USD,ABBV,50,1,189.38468294,9469.234147,220.08,11004,1534.765853,
Open Positions,Data,Summary,Stocks,USD,ABT,79,1,128.064529051,10117.097795,125.92,9947.68,-169.417795,
Open Positions,Data,Summary,Stocks,USD,ACN,27,1,294.012066704,7938.325801,280.67,7578.09,-360.235801,
Open Positions,Data,Summary,Stocks,USD,ADBE,20,1,353.6235249,7072.470498,333.95,6679,-393.470498,
Open Positions,Data,Summary,Stocks,USD,ADI,23,1,183.052718652,4210.212529,300.93,6921.39,2711.177471,
Open Positions,Data,Summary,Stocks,USD,ADP,23,1,260.293478261,5986.75,266.02,6118.46,131.71,
Open Positions,Data,Summary,Stocks,USD,ALC,43,1,88.410858163,3801.666901,80.13,3445.59,-356.076901,
Open Positions,Data,Summary,Stocks,USD,ALNY,8,1,248.484239625,1987.873917,398.29,3186.32,1198.446083,
Open Positions,Data,Summary,Stocks,USD,AMAT,36,1,160.476757778,5777.16328,301.18,10842.48,5065.31672,
Open Positions,Data,Summary,Stocks,USD,AMD,223,1,157.0809723,35029.056823,203.17,45306.91,10277.853177,
Open Positions,Data,Summary,Stocks,USD,AMGN,23,1,341.693478261,7858.95,326.1,7500.3,-358.65,
Open Positions,Data,Summary,Stocks,USD,AMZN,217,1,199.553777594,43303.169738,247.38,53681.46,10378.290262,
Open Positions,Data,Summary,Stocks,USD,ANET,51,1,128.489607843,6552.97,122.89,6267.39,-285.58,
Open Positions,Data,Summary,Stocks,USD,APD,15,1,269.921701667,4048.825525,263.72,3955.8,-93.025525,
Open Positions,Data,Summary,Stocks,USD,APH,52,1,139.909230769,7275.28,140.16,7288.32,13.04,
Open Positions,Data,Summary,Stocks,USD,APP,9,1,691.851111111,6226.66,647.72,5829.48,-397.18,
Open Positions,Data,Summary,Stocks,USD,ARGX,5,1,576.8100298,2884.050149,788.49,3942.45,1058.399851,
Open Positions,Data,Summary,Stocks,USD,ARM,47,1,144.271276596,6780.75,111.79,5254.13,-1526.62,
Open Positions,Data,Summary,Stocks,USD,ASML,33,1,977.124053333,32245.09376,1273.88,42038.04,9792.94624,
Open Positions,Data,Summary,Stocks,USD,AVGO,95,1,183.958356116,17476.043831,344.97,32772.15,15296.106169,
Open Positions,Data,Summary,Stocks,USD,AZN,111,1,90.759009009,10074.25,94.65,10506.15,431.9,
Open Positions,Data,Summary,Stocks,USD,BA,166,1,201.506024096,33450,234.53,38931.98,5481.98,
Open Positions,Data,Summary,Stocks,USD,BABA,146,1,159.306849315,23258.8,150.96,22040.16,-1218.64,
Open Positions,Data,Summary,Stocks,USD,BKNG,1,1,4467.060035,4467.060035,5492.11,5492.11,1025.049965,
Open Positions,Data,Summary,Stocks,USD,BSX,13,1,98.196923077,1276.56,97.64,1269.32,-7.24,
Open Positions,Data,Summary,Stocks,USD,BYDDY,784,1,15.276071469,11976.440032,12.12,9502.08,-2474.360032,
Open Positions,Data,Summary,Stocks,USD,CAT,13,1,604.406923077,7857.29,617.62,8029.06,171.77,
Open Positions,Data,Summary,Stocks,USD,CEG,15,1,209.059035,3135.885525,342.52,5137.8,2001.914475,
Open Positions,Data,Summary,Stocks,USD,CL,49,1,90.710356531,4444.80747,81.48,3992.52,-452.28747,
Open Positions,Data,Summary,Stocks,USD,CMCSA,291,1,25.573504351,7441.889766,28.37,8255.67,813.780234,
Open Positions,Data,Summary,Stocks,USD,CMG,64,1,49.089835703,3141.749485,40.11,2567.04,-574.709485,
Open Positions,Data,Summary,Stocks,USD,COP,85,1,89.654484259,7620.631162,97.51,8288.35,667.718838,
Open Positions,Data,Summary,Stocks,USD,COR,13,1,287.173524154,3733.255814,335.69,4363.97,630.714186,
Open Positions,Data,Summary,Stocks,USD,CORT,39,1,86.025641026,3355,37.5,1462.5,-1892.5,
Open Positions,Data,Summary,Stocks,USD,COST,14,1,961.802561286,13465.235858,924.88,12948.32,-516.915858,
Open Positions,Data,Summary,Stocks,USD,CRM,40,1,260.08081995,10403.232798,259.94,10397.6,-5.632798,
Open Positions,Data,Summary,Stocks,USD,CRWD,12,1,506.506945083,6078.083341,470.61,5647.32,-430.763341,
Open Positions,Data,Summary,Stocks,USD,CSCO,120,1,56.147411917,6737.68943,73.88,8865.6,2127.91057,
Open Positions,Data,Summary,Stocks,USD,CTVA,49,1,58.739106776,2878.216232,68.65,3363.85,485.633768,
Open Positions,Data,Summary,Stocks,USD,CVX,86,1,145.440950186,12507.921716,162.11,13941.46,1433.538284,
Open Positions,Data,Summary,Stocks,USD,DD,56,1,25.707940143,1439.644648,43.81,2453.36,1013.715352,
Open Positions,Data,Summary,Stocks,USD,DE,14,1,482.571428571,6756,488.08,6833.12,77.12,
Open Positions,Data,Summary,Stocks,USD,DECK,30,1,109.7722709,3293.168127,103.76,3112.8,-180.368127,
Open Positions,Data,Summary,Stocks,USD,DHR,29,1,190.986240103,5538.600963,238.37,6912.73,1374.129037,
Open Positions,Data,Summary,Stocks,USD,DXCM,40,1,65.505,2620.2,67.4,2696,75.8,
Open Positions,Data,Summary,Stocks,USD,EA,54,1,151.898173519,8202.50137,204.1,11021.4,2818.89863,
Open Positions,Data,Summary,Stocks,USD,ECL,15,1,243.923924133,3658.858862,271.73,4075.95,417.091138,
Open Positions,Data,Summary,Stocks,USD,EOG,62,1,116.716485387,7236.422094,104.92,6505.04,-731.382094,
Open Positions,Data,Summary,Stocks,USD,ETN,29,1,340.014482759,9860.42,324.51,9410.79,-449.63,
Open Positions,Data,Summary,Stocks,USD,FCX,118,1,35.62451911,4203.693255,56.53,6670.54,2466.846745,
Open Positions,Data,Summary,Stocks,USD,FERG,17,1,160.781313765,2733.282334,238.86,4060.62,1327.337666,
Open Positions,Data,Summary,Stocks,USD,FTNT,51,1,105.957879137,5403.851836,79.22,4040.22,-1363.631836,
Open Positions,Data,Summary,Stocks,USD,GEV,15,1,632.506666667,9487.6,622.5,9337.5,-150.1,
Open Positions,Data,Summary,Stocks,USD,GILD,60,1,106.0772476,6364.634856,121.1,7266,901.365144,
Open Positions,Data,Summary,Stocks,USD,GOAU,1878,1,26.720082923,50180.31573,45.47,85392.66,35212.34427,
Open Positions,Data,Summary,Stocks,USD,GOOG,179,1,163.75059667,29311.356804,329.14,58916.06,29604.703196,
Open Positions,Data,Summary,Stocks,USD,GRMN,14,1,189.392713571,2651.49799,212.25,2971.5,320.00201,
Open Positions,Data,Summary,Stocks,USD,HD,34,1,354.856876412,12065.133798,374.64,12737.76,672.626202,
Open Positions,Data,Summary,Stocks,USD,HLN,434,1,9.871611454,4284.279371,9.91,4300.94,16.660629,
Open Positions,Data,Summary,Stocks,USD,HON,34,1,186.466628324,6339.865363,207.38,7050.92,711.054637,
Open Positions,Data,Summary,Stocks,USD,IBM,29,1,245.27175431,7112.880875,304.22,8822.38,1709.499125,
Open Positions,Data,Summary,Stocks,USD,IFNNY,153,1,43.446535948,6647.32,48.53,7425.09,777.77,
Open Positions,Data,Summary,Stocks,USD,INFY,568,1,18.215850549,10346.603112,17.83,10127.44,-219.163112,
Open Positions,Data,Summary,Stocks,USD,INTU,11,1,667.090909091,7338,646.9,7115.9,-222.1,
Open Positions,Data,Summary,Stocks,USD,ISRG,11,1,516.735482,5684.090302,586.24,6448.64,764.549698,
Open Positions,Data,Summary,Stocks,USD,JNJ,65,1,153.903437277,10003.723423,204.39,13285.35,3281.626577,
Open Positions,Data,Summary,Stocks,USD,KLAC,5,1,1225.2,6126,1400,7000,874,
Open Positions,Data,Summary,Stocks,USD,KMB,34,1,135.242671059,4598.250816,97.92,3329.28,-1268.970816,
Open Positions,Data,Summary,Stocks,USD,KO,161,1,70.37621118,11330.57,70.51,11352.11,21.54,
Open Positions,Data,Summary,Stocks,USD,LIN,21,1,427.565737238,8978.880482,444.08,9325.68,346.799518,
Open Positions,Data,Summary,Stocks,USD,LLY,19,1,779.045476526,14801.864054,1063.56,20207.64,5405.775946,
Open Positions,Data,Summary,Stocks,USD,LOW,27,1,224.776643296,6068.969369,267.21,7214.67,1145.700631,
Open Positions,Data,Summary,Stocks,USD,LRCX,44,1,158.942727273,6993.48,218.36,9607.84,2614.36,
Open Positions,Data,Summary,Stocks,USD,MCHP,51,1,66.219607843,3377.2,75.22,3836.22,459.02,
Open Positions,Data,Summary,Stocks,USD,MCK,7,1,697.547380143,4882.831661,816.06,5712.42,829.588339,
Open Positions,Data,Summary,Stocks,USD,MDLZ,85,1,66.453225671,5648.524182,55.09,4682.65,-965.874182,
Open Positions,Data,Summary,Stocks,USD,MDT,64,1,102.445625,6556.52,97.53,6241.92,-314.6,
Open Positions,Data,Summary,Stocks,USD,META,51,1,585.094744373,29839.831963,653.06,33306.06,3466.228037,
Open Positions,Data,Summary,Stocks,USD,MLM,5,1,503.848039,2519.240195,666.67,3333.35,814.109805,
Open Positions,Data,Summary,Stocks,USD,MPNGY,261,1,30.613314448,7990.075071,25.93,6767.73,-1222.345071,
Open Positions,Data,Summary,Stocks,USD,MRK,89,1,82.841200112,7372.86681,110.53,9837.17,2464.30319,
Open Positions,Data,Summary,Stocks,USD,MRVL,134,1,100.877462687,13517.58,83.22,11151.48,-2366.1,
Open Positions,Data,Summary,Stocks,USD,MSFT,142,1,403.26373131,57263.449846,479.28,68057.76,10794.310154,
Open Positions,Data,Summary,Stocks,USD,MU,96,1,160.425601292,15400.857724,345.09,33128.64,17727.782276,
Open Positions,Data,Summary,Stocks,USD,NBIX,42,1,154.763809524,6500.08,135.79,5703.18,-796.9,
Open Positions,Data,Summary,Stocks,USD,NEE,95,1,83.760526316,7957.25,79.89,7589.55,-367.7,
Open Positions,Data,Summary,Stocks,USD,NKE,70,1,57.964311086,4057.501776,65.92,4614.4,556.898224,
Open Positions,Data,Summary,Stocks,USD,NOW,30,1,160.745507367,4822.365221,141.8,4254,-568.365221,
Open Positions,Data,Summary,Stocks,USD,NSC,22,1,296.045454545,6513,287.21,6318.62,-194.38,
Open Positions,Data,Summary,Stocks,USD,NVDA,300,1,112.51328556,33753.985668,184.86,55458,21704.014332,
