Statement,Header,Field Name,Field Value
Statement,Data,BrokerName,Interactive Brokers Ireland Limited
Statement,Data,BrokerAddress,
Statement,Data,Title,Activity Statement
Statement,Data,Period,"July 15, 2025 - January 9, 2026"
Statement,Data,WhenGenerated,"2026-01-11, 12:07:15 EST"
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,Stichting Legal Owner Keheilan Fund
Account Information,Data,Account,DUK415187
Account Information,Data,Account Type,Individual
Account Information,Data,Customer Type,Partnership
Account Information,Data,Account Capabilities,Margin
Account Information,Data,Base Currency,USD
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Mark-to-Market Performance Summary,Data,Stocks,CMG,64,64,54.8200,40.1100,-941.44,0,0,0,-941.44,
Mark-to-Market Performance Summary,Data,Stocks,COP,70,85,94.1700,97.5100,291.1,12.75,-1,113.4,416.25,
Mark-to-Market Performance Summary,Data,Stocks,COR,13,13,297.0600,335.6900,502.19,0,0,14.95,517.14,
Mark-to-Market Performance Summary,Data,Stocks,CORT,0,39,--,37.5000,-1895.595,4.095,-1,0,-1892.5,
Mark-to-Market Performance Summary,Data,Stocks,COST,13,14,980.9100,924.8800,-698.19,-3.32,-1,33.8,-668.71,
Mark-to-Market Performance Summary,Data,Stocks,CRM,34,40,259.6800,259.9400,5.06,44.46,-1,30.78,79.3,
Mark-to-Market Performance Summary,Data,Stocks,CRWD,12,12,476.1800,470.6100,-66.84,0,0,0,-66.84,
Mark-to-Market Performance Summary,Data,Stocks,CSCO,118,120,67.8200,73.8800,706.9,0.68,-1,97.58,804.16,
Mark-to-Market Performance Summary,Data,Stocks,CTVA,49,49,73.1100,68.6500,-218.54,0,0,17.64,-200.9,
Mark-to-Market Performance Summary,Data,Stocks,CVX,60,86,151.6500,162.1100,942.46,-52.52,-1,205.2,1094.14,
Mark-to-Market Performance Summary,Data,Stocks,DD,56,56,74.8600,43.8100,977.2,0,0,34.16,1011.36,
Mark-to-Market Performance Summary,Data,Stocks,DE,0,14,--,488.0800,181.58,-103.46,-1,22.68,99.8,
Mark-to-Market Performance Summary,Data,Stocks,DECK,30,30,98.3800,103.7600,161.4,0,0,0,161.4,
Mark-to-Market Performance Summary,Data,Stocks,DHR,30,29,197.7500,238.3700,1206.48,-0.18,-1.000166,18.88,1224.179834,
Mark-to-Market Performance Summary,Data,Stocks,DXCM,0,40,--,67.4000,76.4,0.4,-1,0,75.8,
Mark-to-Market Performance Summary,Data,Stocks,EA,54,54,148.8300,204.1000,2984.58,0,0,20.52,3005.1,
Mark-to-Market Performance Summary,Data,Stocks,ECL,15,15,268.2300,271.7300,52.5,0,0,20.7,73.2,
Mark-to-Market Performance Summary,Data,Stocks,EOG,62,62,122.6000,104.9200,-1096.16,0,0,123.69,-972.47,
Mark-to-Market Performance Summary,Data,Stocks,ETN,0,29,--,324.5100,-381.35,-67.28,-1,0,-449.63,
Mark-to-Market Performance Summary,Data,Stocks,FCX,93,118,45.6300,56.5300,1296.95,-12.75,-1,27.9,1311.1,
Mark-to-Market Performance Summary,Data,Stocks,FERG,17,17,220.3600,238.8600,314.5,0,0,29.24,343.74,
Mark-to-Market Performance Summary,Data,Stocks,FTNT,51,51,102.9700,79.2200,-1211.25,0,0,0,-1211.25,
Mark-to-Market Performance Summary,Data,Stocks,GEV,0,15,--,622.5000,-132.3,-16.8,-1,7.5,-142.6,
Mark-to-Market Performance Summary,Data,Stocks,GE,0,990,--,10.4500,-115.75575,-403.42995,-13.15356282,0,-532.33926282,
Mark-to-Market Performance Summary,Data,Stocks,GILD,59,60,112.0900,121.1000,531.47,-1.29,-1,94.01,623.19,
Mark-to-Market Performance Summary,Data,Stocks,GOAU,1878,1878,29.6700,45.4700,29672.4,0,0,751.52,30423.92,
Mark-to-Market Performance Summary,Data,Stocks,GOOG,281,179,182.8100,329.1400,40399.63,-86.7,-1.016932,96.6,40408.513068,
Mark-to-Market Performance Summary,Data,Stocks,GRMN,14,14,217.4100,212.2500,-72.24,0,0,25.2,-47.04,
Mark-to-Market Performance Summary,Data,Stocks,HD,28,34,370.1100,374.6400,247.02,21.66,-1,128.8,396.48,
Mark-to-Market Performance Summary,Data,Stocks,HLN,434,434,9.9000,9.9100,4.34,0,0,25.95,30.29,
Mark-to-Market Performance Summary,Data,Stocks,HON,24,34,238.0600,207.3800,-283.38,-9.8,-1,55.68,-238.5,
Mark-to-Market Performance Summary,Data,Stocks,IBM,25,29,283.7900,304.2200,495.87,-4.24,-1,84,574.63,
Mark-to-Market Performance Summary,Data,Stocks,IFNNY,0,153,--,48.5300,728.28,50.49,-1,0,777.77,
Mark-to-Market Performance Summary,Data,Stocks,INFY,568,568,18.0100,17.8300,-102.24,0,0,147.05,44.81,
Mark-to-Market Performance Summary,Data,Stocks,INTU,0,11,--,646.9000,-294.03,72.93,-1,0,-222.1,
Mark-to-Market Performance Summary,Data,Stocks,ISRG,9,11,516.4400,586.2400,650,6.72,-1,0,655.72,
Mark-to-Market Performance Summary,Data,Stocks,JNJ,67,65,156.8200,204.3900,3182.27,2.06,-1.000332,174.2,3357.529668,
Mark-to-Market Performance Summary,Data,Stocks,KLAC,0,5,--,"1,400.0000",927.7,-52.7,-1,0,874,
Mark-to-Market Performance Summary,Data,Stocks,KMB,34,34,127.4600,97.9200,-1004.36,0,0,85.68,-918.68,
Mark-to-Market Performance Summary,Data,Stocks,KO,0,161,--,70.5100,82.11,-59.57,-1,0,21.54,
Mark-to-Market Performance Summary,Data,Stocks,LIN,14,21,468.7800,444.0800,-34.23,-31.78,-1,42,-25.01,
Mark-to-Market Performance Summary,Data,Stocks,LLY,37,19,799.3400,"1,063.5600",8817.64,210.96,-1.002988,111,9138.597012,
Mark-to-Market Performance Summary,Data,Stocks,LOW,25,27,222.4000,267.2100,1157.73,3.02,-1,60,1219.75,
Mark-to-Market Performance Summary,Data,Stocks,LRCX,0,44,--,218.3600,2625.04,-9.68,-1,0,2614.36,
Mark-to-Market Performance Summary,Data,Stocks,MCHP,0,51,--,75.2200,479.91,-19.89,-1,0,459.02,
Mark-to-Market Performance Summary,Data,Stocks,MCK,7,7,715.5700,816.0600,703.43,0,0,11.48,714.91,
Mark-to-Market Performance Summary,Data,Stocks,MDLZ,85,85,67.6400,55.0900,-1066.75,0,0,85,-981.75,
Mark-to-Market Performance Summary,Data,Stocks,MDT,0,64,--,97.5300,-245.12,-68.48,-1,45.44,-269.16,
Mark-to-Market Performance Summary,Data,Stocks,META,50,51,720.9200,653.0600,-3413.36,8.82,-1,53.03,-3352.51,
Mark-to-Market Performance Summary,Data,Stocks,MLM,5,5,564.8200,666.6700,509.25,0,0,8.3,517.55,
Mark-to-Market Performance Summary,Data,Stocks,MPNGY,352,261,30.8000,25.9300,-1759.74,-7.28,-1.015106,0,-1768.035106,
Mark-to-Market Performance Summary,Data,Stocks,MRK,105,89,83.6700,110.5300,2647.34,31.36,-1.002656,160.7,2838.397344,
